Standardized_City,Job_Count,Longitude,Latitude
"Frisco, TX",16,-96.82361159999999,33.1506744
"Lubbock, TX",16,-101.8456417,33.5845617
"Newark, NJ",15,-74.1723667,40.735657
"Pleasanton, CA",15,-121.8757968,37.6604484
"Reno, NV",15,-119.8142691,39.529919
"Santa Ana, CA",15,-117.867653,33.7454725
"Waltham, MA",15,-71.2356113,42.3764852
"Gaithersburg, MD",15,-77.2016062,39.1439689
"Chattanooga, TN",15,-85.3093995,35.0457984
"Charlottesville, VA",15,-78.47667810000002,38.0293059
"St Petersburg, FL",15,-82.6384451,27.7671271
"Herndon, VA",14,-77.3860976,38.9695545
"Parsippany, NJ",14,-74.41738769999999,40.8652865
"Pickerington, OH",14,-82.7535049,39.8842304
"Cary, NC",14,-78.7811169,35.79154
"Syracuse, NY",14,-76.14742439999999,43.0481221
"Santa Barbara, CA",14,-119.6981901,34.4208305
"Columbus, Ohio",14,-82.99879419999999,39.9611755
"Basking Ridge, NJ",14,-74.5493284,40.7066174
"Cupertino, CA",14,-122.0321823,37.3229978
Raleigh-Durham-Chapel Hill Area,14,-79.0558445,35.9131996
"Arlington, TX",14,-97.10806559999999,32.735687
"Mesa, AZ",14,-111.8314724,33.4151843
"New Orleans, LA",14,-90.0715323,29.95106579999999
"Fort Wayne, IN",14,-85.1393513,41.079273
"Columbia, MD",13,-76.86104619999999,39.2037144
"Silver Spring, MD",13,-77.026088,38.99066570000001
"Fresno, CA",13,-119.7871247,36.7377981
"Queens, NY",13,-73.7948516,40.7282239
"Burbank, CA",13,-118.3089661,34.1808392
"Broomfield, CO",13,-105.0866504,39.9205411
"Baton Rouge, LA",13,-91.18714659999999,30.4514677
"Bakersfield, CA",13,-119.0187125,35.3732921
"Asheville, NC",13,-82.5514869,35.5950581
"Virginia Beach, VA",12,-75.97921939999999,36.8516437
"Bothell, WA",12,-122.2054452,47.76011099999999
"Wilmington, NC",12,-77.8868117,34.2103894
"Frederick, MD",12,-77.4105409,39.41426879999999
"York, PA",12,-76.727745,39.9625984
"Newark, DE",12,-75.74965720000002,39.6837226
"Fargo, ND",12,-96.7898034,46.8771863
Greater St. Louis,12,-90.4502368,38.8196814
"Toledo, OH",12,-83.5378674,41.6528052
"Hoboken, NJ",12,-74.0323626,40.7439905
"Huntsville, AL",12,-86.5861037,34.7303688
"Orange, CA",12,-117.855281,33.7879085
"El Segundo, CA",12,-118.4164652,33.9191799
"Knoxville, TN",12,-83.9207392,35.9606384
"La Mesa, CA",12,-117.0230839,32.7678287
"McKinney, TX",12,-96.6389342,33.1983388
"Norfolk, VA",12,-76.28587259999999,36.8507689
"Newport Beach, CA",12,-117.9298493,33.6188829
"Southfield, MI",12,-83.2218731,42.4733688
"Urbana, IL",11,-88.2072697,40.1105875
"Stockton, CA",11,-121.2907796,37.9577016
"Shakopee, MN",11,-93.5272861,44.7973962
"Albany, NY",11,-73.7562317,42.6525793
"Little Rock, AR",11,-92.2880157,34.7444618
"Melbourne, FL",11,-80.60810889999999,28.0836269
"Green Bay, WI",11,-88.0132958,44.5133188
"Reading, PA",11,-75.9268747,40.3356483
"Honolulu, HI",11,-157.8581401,21.3098845
"Culver City, CA",11,-118.3964665,34.0211224
"Costa Mesa, CA",11,-117.9047429,33.6638439
"Edmond, OK",11,-97.47809540000002,35.6528323
"Chandler, AZ",11,-111.8412502,33.3061605
"Langhorne, PA",11,-74.92266649999999,40.1745538
"Bradenton, FL",11,-82.5748194,27.4989278
"Naples, FL",11,-81.7948103,26.1420358
"Bentonville, AR",11,-94.21021410000002,36.3723561
"Foster City, CA",11,-122.2710788,37.5585465
"Bronx, NY",10,-73.8648268,40.8447819
"Chesterfield, MO",10,-90.5770675,38.6631083
"Brea, CA",10,-117.9002918,33.916475
"College Station, TX",10,-96.3344068,30.627977
"Columbus, GA",10,-84.9877094,32.4609764
"Coral Gables, FL",10,-80.2635411,25.7491968
"Dayton, OH",10,-84.1916069,39.7589478
"Winston-Salem, NC",10,-80.244216,36.09985959999999
"Daytona Beach, FL",10,-81.0228331,29.2108147
"Worcester, MA",10,-71.8022934,42.2625932
"Round Rock, TX",10,-97.678896,30.5082551
"Greenwood Village, CO",10,-104.9508141,39.6172101
"Hillsboro, OR",10,-122.9913808,45.5214068
"Tacoma, WA",10,-122.4442906,47.2528768
"Jefferson City, MO",10,-92.1735164,38.57670170000001
"Kansas City, KS",10,-94.62678729999999,39.11553139999999
"Kent, WA",10,-122.234771,47.3830671
"Kirkland, WA",10,-122.2059833,47.6768927
"Littleton, CO",10,-105.0166498,39.613321
"Manhattan Beach, CA",10,-118.4109089,33.8847361
"Sioux Falls, SD",10,-96.731265,43.5460223
"Milpitas, CA",10,-121.8995741,37.4323341
"Morgantown, WV",10,-79.95589679999999,39.629526
"Olympia, WA",10,-122.9006951,47.0378741
"Paramus, NJ",10,-74.0754189,40.9445428
"Santa Rosa, CA",10,-122.7140548,38.440429
"Henderson, NV",10,-114.9817213,36.0395247
